Strategy,Humpback Chub,Temp Suit,Rainbow Trout Catch,Rainbow Trout Emigrate,Rainbow Trout Quality,Wind Transport Sediment Index,Grand Canyon Flow Index,Time off River Index,Power Generation,Power Cap.,Camp Area Index,Fluctuation Index,GC Raft,Riparian Veg. Index,Sand Load Index,Marsh,Mechanical Removal,Trout Manage Flow
A,4991,0.097,2.11,36699,769,0.2,22.7,0.8,148.5,28.5,0.1,0.8,49,3.7,0.2,0.7,0.1,0
B1,5392,0.097,1.67,29586,867,0.2,23.1,0.8,149.4,30.4,0.1,0.4,71,3.9,0.2,0.8,0.4,3
B2,5541,0.097,1.46,24172,920,0.1,23.1,0.8,150.4,32.4,0.1,0.3,72,3.1,0.2,0.2,0.3,3.1
C1,5016,0.082,2.23,43683,748,0.4,21.8,0.8,147.3,20.8,0.4,0.9,315,3.2,0.5,0.3,0,6.5
C2,4527,0.079,3.18,66890,640,0.4,21.8,0.8,147.2,19.5,0.4,0.9,307,3.2,0.5,0.3,0,0
C3,5335,0.079,1.9,33559,830,0,18.5,0.8,148.9,20.8,0,0.9,0,2.8,0.1,0.3,0.7,0
C4,4874,0.079,2.72,55076,707,0.3,21,0.8,147.6,20.8,0.3,0.9,83,3,0.5,0.3,2.8,0
D1,5247,0.094,2.02,40784,811,0.4,23.5,0.8,146.6,23.8,0.4,0.7,348,3.7,0.5,0.8,1.7,3.9
D2,5181,0.095,2.15,43981,796,0.4,23.6,0.8,146.1,19.6,0.4,0.8,351,3.7,0.5,0.8,2,6.9
D3,4876,0.095,2.63,55811,711,0.4,23.5,0.8,146.8,23.8,0.4,0.7,348,3.7,0.5,0.8,3,0
D4,5241,0.097,2.03,40936,810,0.4,23.5,0.8,146.7,25.1,0.4,0.7,348,4,0.5,0.8,1.7,3.8
E1,5269,0.09,1.93,37614,826,0.3,21.3,0.8,148,22.8,0.3,0.6,177,3.5,0.5,0.6,0,2.6
E2,5015,0.086,2.33,47450,761,0.3,21.3,0.8,147.9,21.8,0.3,0.5,174,3.8,0.4,0.9,0,0
E3,5477,0.087,1.68,28499,891,0,18.4,0.8,149.3,22.8,0,0.5,0,3.9,0,1.1,0.5,0
E4,5103,0.087,2.19,42806,781,0.3,20.9,0.8,148.1,22.8,0.3,0.5,79,3.9,0.4,0.9,1.7,0
E5,5470,0.083,1.68,28561,890,0,18.5,0.8,149.1,21.8,0,0.5,0,3.9,0,1.1,0,0
E6,5708,0.087,1.42,22415,956,0,18.8,0.8,149.3,22.8,0,0.5,0,3.9,0,1.1,0,2.4
F,4450,0.03,3.37,71869,592,0.3,36.8,0.7,141,11.2,0.4,1,919,3.1,0.6,0.1,0,0
G,4741,0.102,2.81,58533,702,0.5,24.7,0.8,142.9,18,0.5,1,512,3.4,0.6,0.4,3.1,11
